code,sector
00747,楼宇建造
00750,楼宇建造
00751,消费电子产品
00752,广告及宣传
00753,航空服务
00754,地产发展商
00755,地产发展商
00756,非酒精饮料
00757,新能源物料
00759,超市及便利店
00760,地产发展商
00762,电讯服务
00763,电讯设备
00764,综合企业
00765,玩具及消闲用品
00767,信贷
00768,投资及资产管理
00769,其他金属及矿物
00770,投资及资产管理
00771,系统开发及资讯科技顾问
00772,出版
00775,药品
00776,游戏软件
00777,游戏软件
00780,旅游及观光
00784,楼宇建造
00788,卫星及无线通讯
00789,珠宝钟表
00794,印刷及包装
00797,游戏软件
00798,物业服务及管理
00799,游戏软件
00800,地产投资
00802,应用软件
00804,证券及经纪
00805,汽车
00806,投资及资产管理
00807,水务
00809,化肥及农用化合物
00810,投资及资产管理
00811,出版
00812,投资及资产管理
00813,地产发展商
00814,超市及便利店
00815,黄金及贵金属
00816,物业服务及管理
00817,地产发展商
00818,电子商贸及互联网服务
00819,能源储存装置
00821,证券及经纪
00822,工业零件及器材
00825,多元化零售商
00826,钢铁
00827,化肥及农用化合物
00828,酒精饮料
00829,包装食品
00830,楼宇建造
00831,包装食品
00832,地产发展商
00833,家庭电器
00834,包装食品
00836,常规电力
00837,家具
00838,工业零件及器材
00839,教育
00840,工业零件及器材
00841,新能源物料
00842,能源储存装置
00844,服装
00845,地产发展商
00846,地产发展商
00848,多元化零售商
00851,证券及经纪
00852,油气生产商
00853,医疗设备及用品
00854,工业零件及器材
00855,水务
00856,系统开发及资讯科技顾问
00857,油气生产商
00858,药品
00859,地产投资
00860,汽车
00861,系统开发及资讯科技顾问
00862,公路运输
00863,系统开发及资讯科技顾问
00864,地产投资
00865,地产发展商
00866,煤炭
00867,药品
00868,工业零件及器材
00869,玩具及消闲用品
00871,重型基建
00873,物业服务及管理
00874,中医药
00875,农产品
00876,医疗设备及用品
00878,地产投资
00880,赌场及博彩
00881,汽车零售商
00882,综合企业
00883,油气生产商
00884,地产发展商
00887,其他零售商
00888,投资及资产管理
00889,工业零件及器材
00893,钢铁
00894,工业零件及器材
00895,环保工程
00896,楼宇建造
00897,中医药
00898,地产投资
00899,地产发展商
00900,信贷
00901,投资及资产管理
00902,常规电力
00905,投资及资产管理
00906,印刷及包装
00907,影视娱乐
00909,系统开发及资讯科技顾问
00910,地产发展商
00911,药品
00912,消费电子产品
00913,投资及资产管理
00914,建筑材料
00915,采购及供应链管理
00916,非传统/可再生能源
00917,广告及宣传
00918,服装
00919,医疗及医学美容服务
00921,家庭电器
00922,其他支援服务
00923,纸及纸制品
00924,楼宇建造
00925,航空货运及物流
00926,农产品
00927,消费电子产品
00928,生物技术
00929,汽车零件
00931,非传统/可再生能源
00932,药品
00933,鞋类
00934,油气设备与服务
00936,重型机械
00938,地产发展商
00939,银行
00941,电讯服务
00943,家具
00945,保险
00947,电讯设备
00948,乳制品
00950,药品
00951,能源储存装置
00952,证券及经纪
00953,影视娱乐
00954,食品添加剂
00956,燃气供应
00959,赌场及博彩
00960,地产发展商
00966,保险
00968,新能源物料
00969,农产品
00970,汽车零售商
00973,其他零售商
00974,多元化零售商
00975,煤炭
00976,铜
00978,地产发展商
00979,新能源物料
00980,超市及便利店
00981,半导体
00982,物业服务及管理
00983,楼宇建造
00984,超市及便利店
00986,珠宝钟表
00987,非传统/可再生能源
00989,地产发展商
00990,特殊化工用品
00991,常规电力
00992,电脑及周边器材
00993,投资及资产管理
00994,非传统/可再生能源
00995,铁路及公路
00997,地产投资
00998,银行
00999,餐饮
01000,出版
01001,钢铁
01002,工业零件及器材
01003,影视娱乐
01004,非传统/可再生能源
01005,玩具及消闲用品
01007,餐饮
01008,印刷及包装
01009,赌场及博彩
01010,商业用车及货车
01011,药品
01013,电讯设备
01020,电子商贸及互联网服务
01022,游戏软件
01023,其他服饰配件
01024,应用软件
01025,服装
01026,水务
01027,家具
01028,鞋类
01029,钢铁
01030,地产发展商
01033,油气设备与服务
01034,重型基建
01036,地产投资
01037,系统开发及资讯科技顾问
01038,常规电力
01039,电子商贸及互联网服务
01044,个人护理
01045,卫星及无线通讯
01046,影视娱乐
01047,特殊化工用品
01049,家居装修零售商
01050,电脑及周边器材
01051,投资及资产管理
01052,铁路及公路
01053,钢铁
01055,航空服务
01057,汽车零件
01058,其他服饰配件
01059,系统开发及资讯科技顾问
01060,影视娱乐
01061,药品
01062,投资及资产管理
01063,电讯设备
01064,地产投资
01065,水务
01066,医疗设备及用品
01068,禽畜肉类
01069,林业及木材
01070,消费电子产品
01071,常规电力
01072,环保工程
01073,其他金融
01075,系统开发及资讯科技顾问
01076,赌场及博彩
01079,电脑及周边器材
01080,油气设备与服务
01082,教育
01083,燃气供应
01084,食品添加剂
01085,电讯设备
01086,家具
01087,系统开发及资讯科技顾问
01088,煤炭
01090,钢铁
01091,其他金属及矿物
01093,药品
01094,电子商贸及互联网服务
01097,广播
01098,地产发展商
01099,药品分销
01100,其他服饰配件
01101,油气生产商
01102,建筑材料
01104,钢铁
01105,出版
01107,地产发展商
01108,新能源物料
01109,地产发展商
01110,药品分销
01111,广告及宣传
01112,个人护理
01113,地产发展商
01114,汽车
01115,非酒精饮料
01116,钢铁
01117,乳制品
01118,建筑材料
01119,游戏软件
01120,其他服饰配件
01121,鞋类
01122,商业用车及货车
01123,消费电子产品
01124,地产发展商
01125,地产投资
01126,玩具及消闲用品
01127,印刷及包装
01128,赌场及博彩
01129,水务
01130,汽车
01132,影视娱乐
01133,环保工程
01134,其他服饰配件
01137,电子商贸及互联网服务
01138,航运及港口
01140,投资及资产管理
01141,证券及经纪
01142,其他金属及矿物
01143,消费电子产品
01145,航运及港口
01146,服装
01147,系统开发及资讯科技顾问
01148,汽车零件
01150,其他服饰配件
01152,包装食品
01153,物业服务及管理
01156,工业零件及器材
01157,重型机械
01159,影视娱乐
01160,投资及资产管理
01161,医疗及医学美容服务
01162,楼宇建造
01163,广告及宣传
01164,其他金属及矿物
01165,非传统/可再生能源
01166,工业零件及器材
01167,生物技术
01168,地产投资
01170,鞋类
01171,煤炭
01172,地产发展商
01173,个人护理
01176,地产发展商
01177,药品
01179,酒店及度假村
01180,赌场及博彩
01181,餐饮
01182,黄金及贵金属
01183,楼宇建造
01184,工业零件及器材
01185,环保工程
01186,重型基建
01188,汽车零件
01189,酒店及度假村
01193,燃气供应
01195,地产发展商
01196,环保工程
01198,家具
01199,航运及港口
01200,地产代理
01201,能源储存装置
01202,电讯设备
01203,禽畜肉类
01204,系统开发及资讯科技顾问
01205,其他金属及矿物
01206,系统开发及资讯科技顾问
01207,地产发展商
01208,铜
01209,物业服务及管理
01210,包装食品
01211,汽车
01213,工业零件及器材
01215,酒店及度假村
01216,银行
01217,投资及资产管理
01218,地产发展商
01220,楼宇建造
01221,酒店及度假村
01222,综合企业
01223,服装零售商
01224,地产发展商
01225,信贷
01226,投资及资产管理
01228,生物技术
01229,煤炭
01231,钢铁
01232,地产发展商
01233,地产发展商
01234,服装
01235,旅游及观光
01237,家具
01238,地产发展商
01239,印刷及包装
01240,楼宇建造
01241,汽车零件
01243,地产发展商
01244,生物技术
01245,赌场及博彩
01246,地产发展商
01247,服装
01250,非传统/可再生能源
01251,油气设备与服务
01252,建筑材料
01253,楼宇建造
01255,服装零售商
01257,非传统/可再生能源
01258,铜
01259,包装食品
01260,其他金融
